Wijknummer,Naam,Trommels,Diefstallen
1,Centrum,88,1681
2,Charlois,43,830
3,Delfshaven,158,147
4,Feijenoord,78,409
5,Hillegersberg,14,446
6,Hoogvliet,1,580
7,Ijsselmonde,1,481
8,Kralingen / Crooswijk,56,1029
9,Noord,220,1259
10,Ommoord,1,91
11,Overschie,28,185
12,Pernis,2,57
13,West,2,1306
