Inventarisnr;Omschrijving;Straat;Thv;XCoord;YCoord;Deelgem;Mutdatum;Dooruser
FT417;Fietstrommel;BORSELAARSTR;19;51,89213943;4,492030144;Charlois;26/01/12;OOMEBE
FT418;Fietstrommel;AMELANDSEPLN;20;51,88740158;4,483719826;Charlois;07/06/09;Conversie
FT419;Fietstrommel;PLEINWG;197;51,89197159;4,477980137;Charlois;07/06/09;Conversie
FT42;Fietstrommel;W BUYTEWECHSTR;227;51,90737915;4,451980114;Delfshaven;07/06/09;Conversie
FT420;Fietstrommel;BERGSELN;76;51,93917084;4,476429939;Noord;14/07/10;STREPE
FT421;Fietstrommel;SONMANSSTR;138;51,93249893;4,459899902;Noord;14/07/10;BEHEER-STZ
FT422;Fietstrommel;SOURYSTR;50;51,93412018;4,458449841;Noord;14/07/10;STREPE
FT423;Fietstrommel;WILLEBRORDUSPLN;23;51,93722916;4,477200031;Noord;14/07/10;BEHEER-STZ
FT424;Fietstrommel;ZESTIENHOVENSEKD;5;51,94084167;4,422929764;Overschie;07/06/09;Conversie
FT425;Fietstrommel;BERGSE R ROTTEKD;hoek Prins Bernhard;51,94585037;4,489580154;Hillegersberg;14/07/10;BEHEER-STZ
FT426;Fietstrommel;PR MARGRIETLN;8;51,94675064;4,48611021;Hillegersberg;07/06/09;Conversie
FT427;Fietstrommel;BYLWERFFSTR;26 hoek statenweg;51,93215942;4,456299782;Noord;14/07/10;BEHEER-STZ
FT428;Fietstrommel;DORDTSELN;66;51,89561081;4,494540215;Feijenoord;14/07/10;STREPE
FT429;Fietstrommel;SCHALEKAMPPLN;onder Metrostation 25;51,88505173;4,381559849;Pernis;14/07/10;BEHEER-STZ
FT43;Fietstrommel;W BUYTEWECHSTR;213;51,90719986;4,453340054;Delfshaven;07/06/09;Conversie
FT430;Fietstrommel;SCHALEKAMPPLN;onder Metrostation 25;51,88505173;4,381559849;Pernis;14/07/10;STREPE
FT431;Fietstrommel;HOGERBEETSSTR;13;51,92723083;4,4584198;Noord;07/06/09;Conversie
FT432;Fietstrommel;HOGERBEETSSTR;13;51,92723083;4,4584198;Noord;14/07/10;STREPE
FT433;Fietstrommel;NOORDERHAVENKD;111;51,93309021;4,46036005;Noord;07/06/09;Conversie
FT434;Fietstrommel;PROVENIERSPLN;3;51,92630005;4,469099998;Noord;22/02/12;OOMEBE
FT435;Fietstrommel;PAETSSTR;4;51,92758179;4,45855999;Noord;14/07/10;BEHEER-STZ
FT436;Fietstrommel;SCHIEWG;61;51,93188095;4,467060089;Noord;07/06/09;Conversie
FT437;Fietstrommel;UNGERPLN;15;51,92893982;4,471879959;Noord;07/06/09;Conversie
FT438;Fietstrommel;WALENBURGERWG;120;51,92658997;4,463469982;Noord;07/06/09;Conversie
FT439;Fietstrommel;DORDTSELN;64;51,8956604;4,494559765;Feijenoord;07/06/09;Conversie
FT44;Fietstrommel;W BUYTEWECHSTR;50;51,90729141;4,46036005;Delfshaven;06/07/10;STREPE
FT440;Fietstrommel;HENEGOUWERPLN;2;51,92134094;4,462870121;Delfshaven;07/06/09;Conversie
FT441;Fietstrommel;HENEGOUWERPLN;2;51,92134094;4,462870121;Delfshaven;07/06/09;Conversie
FT442;Fietstrommel;BREEWG;16;51,89070129;4,51857996;Feijenoord;07/06/09;Conversie
FT443;Fietstrommel;BAKKERSTR; 29/31;51,88560104;4,463270187;Charlois;14/07/10;BEHEER-STZ
FT444;Fietstrommel;BENTINCKLN;29;51,89179993;4,489699841;Noord;14/07/10;STREPE
FT445;Fietstrommel;RIEKEROORD;21;51,8830719;4,552020073;IJsselmonde;07/06/09;Conversie
FT446;Fietstrommel;SPOORSNGL;48;51,92781067;4,467979908;Noord;07/06/09;Conversie
FT447;Fietstrommel;STADHOUDERSWG;117;51,9307518;4,459730148;Noord;07/06/09;Conversie
FT448;Fietstrommel;BERGSELN;328;51,93291092;4,464039803;Noord;07/06/09;Conversie
FT449;Fietstrommel;PROVENIERSSTR;32;51,92726898;4,473010063;Noord;07/06/09;Conversie
FT45;Fietstrommel;ROCHUSSENSTR;201;51,91125107;4,461850166;Delfshaven;07/06/09;Conversie
FT450;Fietstrommel;A VD DOESLN;119;51,95858002;4,492569923;Hillegersberg;14/07/10;STREPE
FT451;Fietstrommel;WEVERSHOEKSTR;65;51,88991165;4,491020203;Charlois;14/07/10;BEHEER-STZ
FT452;Fietstrommel;ROCHUSSENSTR;331;51,9090004;4,454090118;Delfshaven;07/06/09;Conversie
FT453;Fietstrommel;HOOIDRIFT;13;51,91513062;4,452539921;Delfshaven;14/07/10;BEHEER-STZ
FT454;Fietstrommel;GR FLORISSTR;110;51,91889191;4,456659794;Delfshaven;07/06/09;Conversie
FT455;Fietstrommel;ADAMSHOFSTR;naast 149;51,92213821;4,508840084;Kralingen/Crooswijk;07/06/09;Conversie
FT456;Fietstrommel;SAENREDAMPLN;3;51,93843842;4,421999931;Overschie;07/06/09;Conversie
FT457;Fietstrommel;NOORDSNGL;30;51,92937088;4,48100996;Noord;07/06/09;Conversie
FT458;Fietstrommel;STADHOUDERSWG;117;51,9307518;4,459730148;Noord;07/06/09;Conversie
FT459;Fietstrommel;MEYERSPLN ;19;51,95621872;4,466499805;Hillegersberg;07/06/09;Conversie
FT46;Fietstrommel;GR FLORISSTR;64;51,91419983;4,449440002;Delfshaven;06/07/10;STREPE
FT460;Fietstrommel;MATHENESSERLN;424;51,91419983;4,449440002;Delfshaven;01/02/12;OOMEBE
FT461;Fietstrommel;MATHENESSERLN;424;51,91419983;4,449440002;Delfshaven;01/03/11;OOMEBE
FT462;Fietstrommel;S GRAVENDYKWAL;82-84;51,91603088;4,463029861;Centrum;07/06/09;Conversie
FT463;Fietstrommel;S GRAVENDYKWAL;82-84;51,91603088;4,463029861;Centrum;07/06/09;Conversie
FT464;Fietstrommel;S GRAVENDYKWAL;82-84;51,91603088;4,463029861;Centrum;07/06/09;Conversie
FT465;Fietstrommel;1E ST JANSHOF;15;51,92351913;4,495669842;Centrum;07/06/09;Conversie
FT466;Fietstrommel;WOLPHAERTSBOCHT;347;51,89228821;4,480390072;Charlois;14/07/10;STREPE
FT467;Fietstrommel;B JUNGERIUSSTR;13;51,8906517;4,486660004;Charlois;14/07/10;BEHEER-STZ
FT468;Fietstrommel;STATENWG;56;51,93247986;4,457019806;Noord;14/07/10;STREPE
FT469;Fietstrommel;BISSCHOPSTR;33;51,93294144;4,456749916;Noord;14/07/10;BEHEER-STZ
FT47;Fietstrommel;MAASKD;104;51,91341019;4,493060112;Feijenoord;07/06/09;Conversie
FT470;Fietstrommel;W G WITTEVEENPLN;19;51,90724945;4,499690056;Feijenoord;14/07/10;STREPE
FT471;Fietstrommel;W G WITTEVEENPLN;19;51,90724945;4,499690056;Feijenoord;14/07/10;BEHEER-STZ
FT472;Fietstrommel;SCHIEDAMSESNGL;181;51,91371918;4,478829861;Centrum;07/06/09;Conversie
FT473;Fietstrommel;KORTENAERSTR;38;51,9134407;4,476359844;Centrum;07/06/09;Conversie
FT474;Fietstrommel;KORTENAERSTR;38;51,9134407;4,476359844;Centrum;07/06/09;Conversie
FT475;Fietstrommel;HARINGVLIET;2;51,92065811;4,498030186;Centrum;07/06/09;Conversie
FT476;Fietstrommel;HENEGOUWERLN;124;51,91928864;4,463399887;Centrum;07/06/09;Conversie
FT477;Fietstrommel;AKELEISTR;24;51,92131042;4,463419914;Centrum;07/06/09;Conversie
FT478;Fietstrommel;CLEYBURCHSTR;16;51,93426132;4,45720005;Noord;07/06/09;Conversie
FT479;Fietstrommel;1E PYNACKERSTR;113;51,93381882;4,481239796;Noord;14/07/10;BEHEER-STZ
FT48;Fietstrommel;2E PIOENSTR;41-45;51,89432907;4,503119946;Feijenoord;06/07/10;STREPE
FT480;Fietstrommel;TOLLENSSTR;108;51,93019104;4,480949879;Noord;14/07/10;STREPE
FT481;Fietstrommel;TOLLENSSTR;96;51,93050003;4,481239796;Noord;07/06/09;Conversie
FT482;Fietstrommel;SCHIEWG;7;51,93128967;4,468739986;Noord;14/07/10;STREPE
FT483;Fietstrommel;CARNISSELN;55;51,88901901;4,478559971;Charlois;07/06/09;Conversie
FT484;Fietstrommel;BURG MEINESZLN;79;51,91881943;4,451019764;Delfshaven;14/07/10;STREPE
FT485;Fietstrommel;BARONIESTR;54;51,94332886;4,476739883;Hillegersberg;14/07/10;STREPE
FT486;Fietstrommel;DORDTSELN;214;51,89067841;4,494080067;Feijenoord;14/07/10;STREPE
FT487;Fietstrommel;DORDTSELN;234;51,89027023;4,494100094;Feijenoord;14/07/10;STREPE
FT488;Fietstrommel;DORDTSELN;84;51,89505005;4,494249821;Feijenoord;14/07/10;STREPE
FT489;Fietstrommel;NARCISSENSTR;53;51,8919487;4,49492979;Feijenoord;14/07/10;BEHEER-STZ
FT49;Fietstrommel;DR ZAMENHOFSTR;57;51,92358017;4,501510143;Kralingen/Crooswijk;06/07/10;STREPE
FT490;Fietstrommel;DAHLIASTR;17;51,89524078;4,504159927;Feijenoord;14/07/10;STREPE
FT491;Fietstrommel;PIMPERNELSTR;37;51,89458084;4,49559021;Feijenoord;14/07/10;BEHEER-STZ
FT492;Fietstrommel;STRUITENWG;42;51,88613129;4,462940216;Charlois;14/07/10;STREPE
FT493;Fietstrommel;SCHERE;218;51,8748703;4,484779835;Charlois;14/07/10;BEHEER-STZ
FT494;Fietstrommel;KATEND LAGEDK;118;51,89289856;4,482870102;Charlois;17/05/11;STREPE
FT495;Fietstrommel;K DE STOUTEPLN;1;51,89397049;4,471169949;Charlois;14/07/10;BEHEER-STZ
FT496;Fietstrommel;PR MAURITSSNGL;21;51,93785858;4,42414999;Overschie;14/07/10;STREPE
FT497;Fietstrommel;PR MAURITSSNGL;21;51,93785858;4,42414999;Overschie;14/07/10;BEHEER-STZ
FT498;Fietstrommel;BEUKELSDK;20;51,92171097;4,458930016;Delfshaven;14/07/10;STREPE
FT499;Fietstrommel;BEUKELSWG;61;51,92002869;4,444419861;Delfshaven;14/07/10;BEHEER-STZ
FT5;Fietstrommel;ESSENBURGSNGL;22B;51,92282867;4,459889889;Delfshaven;06/07/10;STREPE
FT50;Fietstrommel;DR ZAMENHOFSTR;59;51,92350006;4,501460075;Kralingen/Crooswijk;07/06/09;Conversie
FT500;Fietstrommel;BEUKELSWG;8;51,91984177;4,447000027;Delfshaven;14/07/10;STREPE
FT501;Fietstrommel;ESSENBURGSTR;45;51,92210007;4,452010155;Delfshaven;14/07/10;BEHEER-STZ
FT502;Fietstrommel;HEEMRAADSSNGL;197;51,91624832;4,454319954;Delfshaven;14/07/10;STREPE
FT503;Fietstrommel;HEEMRAADSSNGL;253;51,91432953;4,454440117;Delfshaven;14/07/10;BEHEER-STZ
FT504;Fietstrommel;MATHENESSERLN;256;51,91437912;4,444600105;Delfshaven;14/07/10;STREPE
FT505;Fietstrommel;V CITTERSSTR;28;51,91875076;4,446770191;Delfshaven;14/07/10;BEHEER-STZ
FT506;Fietstrommel;J V AVENNESSTR;9;51,92079163;4,459420204;Delfshaven;14/07/10;STREPE
FT507;Fietstrommel;S MULLERPLN;3;51,91360855;4,447329998;Delfshaven;14/07/10;BEHEER-STZ
FT508;Fietstrommel;BEUKELSDK;106;51,92071152;4,452630043;Delfshaven;14/07/10;STREPE
FT509;Fietstrommel;BURG MEINESZLN;13;51,91757965;4,453700066;Delfshaven;14/07/10;BEHEER-STZ
FT51;Fietstrommel;MOLENVYVER;25;51,95586014;4,474780083;Hillegersberg;07/06/09;Conversie
FT510;Fietstrommel;ESSENBURGSNGL;103;51,92153168;4,447309971;Delfshaven;14/07/10;STREPE
FT511;Fietstrommel;MATHENESSERLN;452;51,91455841;4,444469929;Delfshaven;14/07/10;BEHEER-STZ
FT512;Fietstrommel;PUPILLENSTR;28;51,91218948;4,450019836;Delfshaven;14/07/10;STREPE
FT513;Fietstrommel;BERGSELN;57;51,93822861;4,474140167;Noord;14/07/10;STREPE
FT514;Fietstrommel;BERGSELN;238/244;51,93532944;4,470920086;Noord;14/07/10;STREPE
FT515;Fietstrommel;BERGSELN;238/244;51,93532944;4,470920086;Noord;14/07/10;STREPE
FT516;Fietstrommel;BESEMERSTR;10;51,93323898;4,459529877;Noord;14/07/10;STREPE
FT517;Fietstrommel;A KUYPERLN;73/75;51,93434906;4,462979794;Noord;14/07/10;STREPE
FT518;Fietstrommel;BERKELSELN;74;51,93746948;4,470290184;Noord;14/07/10;STREPE
FT519;Fietstrommel;DELFGAAUWSTR;48;51,93886185;4,471660137;Noord;14/07/10;STREPE
FT52;Fietstrommel;K VD BERGELN;34;51,95714951;4,491290092;Hillegersberg;07/06/09;Conversie
FT520;Fietstrommel;G V PRINSTERERSTR;23;51,93473816;4,461550236;Noord;14/07/10;STREPE
FT521;Fietstrommel;KL COOLSTR;36;51,92670822;4,46585989;Noord;14/07/10;STREPE
FT522;Fietstrommel;NOBELSTR;88;51,93246078;4,458849907;Noord;14/07/10;STREPE
FT523;Fietstrommel;NOBELSTR;101;51,93151855;4,459630013;Noord;14/07/10;STREPE
FT524;Fietstrommel;NOLENSSTR;67;51,93009949;4,462870121;Noord;14/07/10;STREPE
FT525;Fietstrommel;NOORDERHAVENKD;21;51,93489075;4,458799839;Noord;15/07/10;STREPE
FT526;Fietstrommel;NOORDERHAVENKD;47;51,93431854;4,459290028;Noord;14/07/10;STREPE
FT527;Fietstrommel;NOORDERHAVENKD;87;51,93344116;4,460050106;Noord;14/07/10;STREPE
FT528;Fietstrommel;NOORDSNGL;33;51,92982101;4,480899811;Noord;01/02/13;STREPE
FT529;Fietstrommel;UNGERPLN;12;51,92916107;4,471479893;Noord;14/07/10;STREPE
FT53;Fietstrommel;PRINSENHOF;27;51,923069;4,487130165;Centrum;07/06/09;Conversie
FT530;Fietstrommel;NOORDSNGL;134;51,93119812;4,476359844;Noord;14/07/10;STREPE
FT531;Fietstrommel;DE S LOHMANLN;79;51,93634033;4,466909885;Noord;14/07/10;STREPE
FT532;Fietstrommel;SCHEPENSTR;56;51,9299202;4,466239929;Noord;14/07/10;STREPE
FT533;Fietstrommel;SCHEPENSTR;78;51,92863846;4,464930058;Noord;14/07/10;STREPE
FT534;Fietstrommel;SCHEPENSTR;93;51,92803955;4,464129925;Noord;14/07/10;STREPE
FT535;Fietstrommel;SCHEPENSTR;94;51,92758942;4,463540077;Noord;14/07/10;STREPE
FT536;Fietstrommel;A KUYPERLN;56;51,9348793;4,464560032;Noord;14/07/10;STREPE
FT537;Fietstrommel;STATIONSSNGL;63;51,92538834;4,465270042;Noord;14/07/10;STREPE
FT538;Fietstrommel;STATIONSSNGL;63;51,92538834;4,465270042;Noord;14/07/10;STREPE
FT539;Fietstrommel;BESEMERSTR;10;51,93323898;4,459529877;Noord;14/07/10;STREPE
FT54;Fietstrommel;PRINSENHOF;13;51,92348099;4,487339973;Centrum;07/06/09;Conversie
FT540;Fietstrommel;HEEMRAADSSNGL;205;51,9159584;4,454339981;Delfshaven;14/07/10;STREPE
FT541;Fietstrommel;SPOORSNGL;69;51,92609024;4,468239784;Noord;14/07/10;STREPE
FT542;Fietstrommel;VIRULYPLN;11;51,91973114;4,45070982;West;14/07/10;STREPE
FT543;Fietstrommel;MATHENESSERLN;346;51,91172028;4,446780205;West;14/07/10;STREPE
FT544;Fietstrommel;SCHIETBAANLN;112;51,91567993;4,456099987;Centrum;15/07/10;STREPE
FT545;Fietstrommel;SCHIETBAANLN;;51,91567993;4,455850124;Centrum;15/07/10;STREPE
FT546;Fietstrommel;HEEMRAADSSNGL;239;51,91490173;4,454390049;Delfshaven;15/07/10;STREPE
FT547;Fietstrommel;PERSYNSTR;10;51,92065811;4,456530094;Delfshaven;15/07/10;STREPE
FT548;Fietstrommel;MATHENESSERDK;295;51,91519165;4,443930149;Delfshaven;15/07/10;STREPE
FT549;Fietstrommel;MATHENESSERDK;295;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT55;Fietstrommel;TOMMANDERSHOF;107e;51,91949081;4,473320007;Centrum;07/06/09;Conversie
FT550;Fietstrommel;MATHENESSERDK;305;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT551;Fietstrommel;MATHENESSERDK;309;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT552;Fietstrommel;STADHOUDERSWG;112;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT553;Fietstrommel;MATHENESSERLN;209;51,91949081;4,473320007;Centrum;15/07/10;STREPE
FT554;Fietstrommel;2E JERICHOSTR;11;51,93080902;4,507559776;Noord;03/08/11;OOMEBE
FT555;Fietstrommel;NOORDSNGL;26-28;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT556;Fietstrommel;BEUKELSWG;86;51,9200592;4,444069862;Delfshaven;15/07/10;STREPE
FT557;Fietstrommel;DELFGAAUWSTR;51;51,9388504;4,471630096;Noord;15/07/10;STREPE
FT558;Fietstrommel;SCHERMLN;2;51,91701126;4,46257019;Delfshaven;15/07/10;STREPE
FT559;Fietstrommel;ESSENBURGSNGL;15;51,92287827;4,460649967;Delfshaven;15/07/10;STREPE
FT56;Fietstrommel;GAFFELSTR;108;51,91923904;4,468249798;Centrum;06/07/10;STREPE
FT560;Fietstrommel;ESSENBURGSNGL;139;51,92090988;4,444739819;Delfshaven;15/07/10;STREPE
FT561;Fietstrommel;C DE VRIESELN;49;51,91622925;4,459219933;Delfshaven;15/07/10;STREPE
FT562;Fietstrommel;GR FLORISSTR;98;51,91918945;4,457029819;Delfshaven;15/07/10;STREPE
FT563;Fietstrommel;C DE VRIESELN;43;51,91638947;4,459209919;Delfshaven;15/07/10;STREPE
FT564;Fietstrommel;S GRAVENDYKWAL;161;51,91233063;4,46337986;Delfshaven;15/07/10;STREPE
FT565;Fietstrommel;SCHIETBAANLN;2;51,91559982;4,462619781;Delfshaven;15/07/10;STREPE
FT566;Fietstrommel;BURG MEINESZLN;71;51,91865158;4,451429844;Delfshaven;15/07/10;STREPE
FT567;Fietstrommel;BEUKELSWG;19;51,91986847;4,446529865;Delfshaven;15/07/10;STREPE
FT568;Fietstrommel;BEUKELSDK;165;51,92036819;4,451010227;Delfshaven;15/07/10;STREPE
FT569;Fietstrommel;ROCHUSSENSTR;285;51,90948105;4,456520081;Delfshaven;15/07/10;STREPE
FT57;Fietstrommel;SCHIELN;62/64;51,94414139;4,422820091;Overschie;06/07/10;STREPE
FT570;Fietstrommel;SCHIETBAANLN;6;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT571;Fietstrommel;MATHENESSERLN;454;51,91455841;4,444469929;Delfshaven;15/07/10;STREPE
FT572;Fietstrommel;HONDIUSSTR;17;51,91238022;4,459710121;Delfshaven;15/07/10;STREPE
FT573;Fietstrommel;S MULLERSTR;21;51,9133606;4,44727993;Delfshaven;15/07/10;STREPE
FT574;Fietstrommel;SCHERMLN;2;51,91701126;4,46257019;Delfshaven;15/07/10;STREPE
FT575;Fietstrommel;V OOSTERZEESTR;4;51,91917038;4,449210167;Delfshaven;15/07/10;STREPE
FT576;Fietstrommel;HEEMRAADSPLN;4;51,91313934;4,453410149;Delfshaven;15/07/10;STREPE
FT577;Fietstrommel;MATHENESSERLN;230;51,91469955;4,444369793;Delfshaven;15/07/10;STREPE
FT578;Fietstrommel;HEEMRAADSSNGL;326;51,91030884;4,457459927;Delfshaven;15/07/10;STREPE
FT579;Fietstrommel;BEUKELSWG;81;51,92166138;4,458650112;Delfshaven;13/01/12;OOMEBE
FT58;Fietstrommel;F BEKKERSTR;52;51,89123917;4,468540192;Charlois;07/06/09;Conversie
FT580;Fietstrommel;BEUKELSDK;174;51,91999817;4,449339867;Delfshaven;15/07/10;STREPE
FT581;Fietstrommel;HAVENSTR;148;51,90596008;4,452270031;Delfshaven;15/07/10;STREPE
FT582;Fietstrommel;ESSENBURGSNGL;98;51,92166138;4,447760105;Delfshaven;15/07/10;STREPE
FT583;Fietstrommel;SCHEPENSTR;25;51,93077087;4,46653986;Noord;15/07/10;STREPE
FT584;Fietstrommel;GORDELWG;84/86;51,93965912;4,473420143;Noord;15/07/10;STREPE
FT585;Fietstrommel;BERGPOLDERSTR;58/62;51,93346024;4,466720104;Noord;15/07/10;STREPE
FT586;Fietstrommel;NOORDERHAVENKD;136;51,93302917;4,462059975;Noord;15/07/10;STREPE
FT587;Fietstrommel;HERLAERSTR;30;51,93021011;4,475419998;Noord;15/07/10;STREPE
FT588;Fietstrommel;J CATSSTR;17;51,93426895;4,483210087;Noord;15/07/10;STREPE
FT589;Fietstrommel;BERGSELN;97;51,93767929;4,473400116;Noord;15/07/10;STREPE
FT59;Fietstrommel;ZWARTEWAALSTR;191;51,8931694;4,487480164;Charlois;07/06/09;Conversie
FT590;Fietstrommel;BANIERSTR;73;51,93095016;4,472169876;Noord;15/07/10;STREPE
FT591;Fietstrommel;VROESENLN;52;51,93030167;4,456570148;Noord;15/07/10;STREPE
FT592;Fietstrommel;DELFGAAUWSTR;50;51,9388504;4,471570015;Noord;15/07/10;STREPE
FT593;Fietstrommel;BERGWG;258/260;51,93378067;4,473639965;Noord;15/07/10;STREPE
FT594;Fietstrommel;MATHENESSERLN;244;51,91450119;4,461639881;Delfshaven;15/07/10;STREPE
FT595;Fietstrommel;W BUYTEWECHSTR;169;51,9070282;4,454710007;Delfshaven;15/07/10;STREPE
FT596;Fietstrommel;SCHOONDERLOOSTR;163;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT597;Fietstrommel;PARALLELSTR;40;51,94406891;4,424129963;Overschie;15/07/10;STREPE
FT598;Fietstrommel;BATAVIERENSTR;39;51,91949081;4,473320007;Centrum;15/07/10;STREPE
FT599;Fietstrommel;ZEEMANSSTR;11;51,91949081;4,473320007;Centrum;15/07/10;STREPE
FT6;Fietstrommel;NOBELSTR;88;51,93246078;4,458849907;Noord;07/06/09;Conversie
FT60;Fietstrommel;Bibliotheek;198;52,00255966;4,375520229;Hoogvliet;06/07/10;STREPE
FT600;Fietstrommel;MOERKERKESTR;90/92;51,89007187;4,472430229;Charlois;15/07/10;STREPE
FT601;Fietstrommel;PARALLELSTR;4;51,94301987;4,424520016;Overschie;15/07/10;STREPE
FT603;Fietstrommel;BEUKELSDK;32;51,92164993;4,458660126;Delfshaven;15/07/10;STREPE
FT604;Fietstrommel;BEUKELSDK;22;51,92168045;4,458889961;Delfshaven;15/07/10;STREPE
FT605;Fietstrommel;BEUKELSDK;24;51,92168045;4,458839893;Delfshaven;15/07/10;STREPE
FT606;Fietstrommel;BEUKELSDK;172;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT607;Fietstrommel;BALKENSTR;14;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT608;Fietstrommel;BURG MEINESZLN;13;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT609;Fietstrommel;BURG MEINESZLN;43;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT61;Fietstrommel;DOEZASTR;2;51,92893982;4,464159966;Noord;06/07/10;STREPE
FT610;Fietstrommel;BURG MEINESZLN;51;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT611;Fietstrommel;BURG MEINESZLN;72;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT612;Fietstrommel;A PIERSONSTR;22;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT613;Fietstrommel;BEATRYSSTR;38;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT614;Fietstrommel;A MILDERSSTR;73;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT615;Fietstrommel;ESSENBURGSNGL;149;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT616;Fietstrommel;C DE VRIESELN;83;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT617;Fietstrommel;VOLMARYNSTR;148;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT618;Fietstrommel;ROCHUSSENSTR;199;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT619;Fietstrommel;ROCHUSSENSTR;335;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT62;Fietstrommel;SCHIEKD;624;51,92861176;4,473609924;Noord;07/06/09;Conversie
FT620;Fietstrommel;WATERGEUSSTR;191;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT621;Fietstrommel;CORVERSTR;62;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT622;Fietstrommel;MAURITSSTR;128;51,91949081;4,473320007;Centrum;15/07/10;STREPE
FT623;Fietstrommel;STATENSNGL;van Goenstraat;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT624;Fietstrommel;SCHIETBAANLN;34;51,91949081;4,473320007;Centrum;15/07/10;STREPE
FT625;Fietstrommel;STATENWG;159;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT626;Fietstrommel;STADHOUDERSPLN;14;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT627;Fietstrommels;G SCHOLTENSTR;11;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT628;Fietstrommel;T V POORTVLIETSTR;9;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT629;Fietstrommel;HOOIDRIFT;13-15;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT63;Fietstrommel;UNGERPLN;8;51,92893982;4,47179985;Noord;07/06/09;Conversie
FT630;Fietstrommel;BERGWG;127;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT631;Fietstrommel;BERGWG;301;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT632;Fietstrommel;G SCHOLTENSTR;40;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT633;Fietstrommel;1E PYNACKERSTR;134;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT634;Fietstrommel;SCHIETBAANLN;86;51,91997147;4,449299812;Delfshaven;11/01/11;OOMEBE
FT635;Fietstrommel;SCHIEKD;109;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT636;Fietstrommel;OOSTERVANTSTR;3;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT637;Fietstrommel;BEUKELSDK;80;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT638;Fietstrommel;V OOSTERZEESTR;26;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT639;Fietstrommels;PROVENIERSSNGL;22;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT64;Fietstrommel;UNGERPLN;8;51,92893982;4,471809864;Noord;07/06/09;Conversie
FT640;Fietstrommel;STADHOUDERSPLN;11;51,93054962;4,459660053;Noord;15/07/10;STREPE
FT641;Fietstrommel;DUYVESTEYNHOF;;51,93852997;4,422210217;Overschie;29/02/12;STREPE
FT642;Fietstrommel;VLIETLN;32A;51,92977142;4,489990234;Kralingen/Crooswijk;15/07/10;STREPE
FT643;Fietstrommel;VLIETLN;32A;51,92977142;4,489990234;Kralingen/Crooswijk;15/07/10;STREPE
FT644;Fietstrommel;TABORSTR;12;51,92977142;4,489990234;Kralingen/Crooswijk;15/07/10;STREPE
FT645;Fietstrommel;HOOIDRIFT;9;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT646;Fietstrommel;KRALINGSE PLASLN;97B;51,92977142;4,489990234;Kralingen/Crooswijk;15/07/10;STREPE
FT647;Fietstrommel;PALESTINASTR;59;51,92977142;4,489990234;Kralingen/Crooswijk;15/07/10;STREPE
FT648;Fietstrommel;C DE VRIESELN;96;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT649;Fietstrommel;GR FLORISSTR;28;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
FT65;Fietstrommel;CROOSWYKSESNGL;13b;51,92977142;4,489990234;Kralingen/Crooswijk;07/06/09;Conversie
FT650;Fietstrommel;WERKHOEFSTR;7;51,91997147;4,449299812;Delfshaven;15/07/10;STREPE
