Inventarisnr;Omschrijving;Straat;Thv;XCoord;YCoord;Deelgem;Mutdatum;Dooruser
FT245;Fietstrommel;BURG BOSSTR;73;51,94266891;4,427299976;Overschie;07/06/09;Conversie
FT246;Fietstrommel;ZESTIENHOVENSEKD;5;51,94084167;4,422929764;Overschie;07/06/09;Conversie
FT247;Fietstrommel;P V ASCHSTR;45;51,93946838;4,424469948;Overschie;13/07/10;BEHEER-STZ
FT248;Fietstrommel;P V ASCHSTR;22;51,93959045;4,424769878;Overschie;07/06/09;Conversie
FT249;Fietstrommel;SCHIELN;23;51,94379044;4,421969891;Overschie;07/06/09;Conversie
FT25;Fietstrommel;BREITNERSTR;89 a;51,91410065;4,466969967;Centrum;07/06/09;Conversie
FT250;Fietstrommel;ZESTIENHOVENSEKD;250;51,93917847;4,43407011;Overschie  ;07/06/09;Conversie
FT251;Fietstrommel;CLEYBURCHSTR;48;51,93325043;4,454130173;Noord;13/07/10;BEHEER-STZ
FT252;Fietstrommel;VD DUSSENSTR;10;51,93104935;4,456580162;Noord;13/07/10;STREPE
FT253;Fietstrommel;VD DUSSENSTR;12;51,9310112;4,456439972;Noord;07/06/09;Conversie
FT254;Fietstrommel;BYLWERFFSTR;20;51,93244934;4,457129955;Noord;13/07/10;STREPE
FT255;Fietstrommel;SOURYSTR;50;51,93412018;4,458439827;Noord;07/06/09;Conversie
FT256;Fietstrommel;SOURYSTR;50;51,93412018;4,458449841;Noord;13/07/10;STREPE
FT257;Fietstrommel;NOORDERHAVENKD;31;51,93466949;4,458990097;Noord;07/06/09;Conversie
FT258;Fietstrommel;NOORDERHAVENKD;65;51,93392944;4,459630013;Noord;07/06/09;Conversie
FT259;Fietstrommel;SONMANSSTR;138;51,93249893;4,459899902;Noord;13/07/10;BEHEER-STZ
FT26;Fietstrommel;BREITNERSTR;109 c;51,91324997;4,467100143;Centrum;07/06/09;Conversie
FT260;Fietstrommel;SONMANSSTR;140;51,93246078;4,459929943;Noord;13/07/10;STREPE
FT261;Fietstrommel;NOBELSTR;101;51,93151855;4,459630013;Noord;13/07/10;BEHEER-STZ
FT262;Fietstrommel;DE KEMPENAERSTR;12;51,93532181;4,461939812;Noord;13/07/10;STREPE
FT263;Fietstrommel;LUZACSTR;2;51,935009;4,462920189;Noord;07/06/09;Conversie
FT264;Fietstrommel;KERDYKSTR;16;51,93326187;4,462729931;Noord;01/04/11;franno
FT265;Fietstrommel;BERGSELN;277;51,93357849;4,464690208;Noord;13/07/10;BEHEER-STZ
FT266;Fietstrommel;BERGSELN;305;51,93284988;4,463620186;Noord;13/07/10;STREPE
FT267;Fietstrommel;BERGSELN;338;51,93367004;4,465119839;Noord;07/06/09;Conversie
FT268;Fietstrommel;BERGSELN;364;51,93291092;4,464039803;Noord;13/07/10;STREPE
FT269;Fietstrommel;SCHIEWG;104;51,93281937;4,465990067;Noord;13/07/10;BEHEER-STZ
FT27;Fietstrommel;OCHTERVELTSTR;23;51,91362;4,466460228;Centrum;07/06/09;Conversie
FT270;Fietstrommel;SCHIEWG;117;51,93341827;4,465720177;Noord;07/06/09;Conversie
FT271;Fietstrommel;STADHOUDERSWG;86;51,93098068;4,460939884;Noord;13/07/10;BEHEER-STZ
FT272;Fietstrommel;NOLENSSTR;69;51,93006134;4,462830067;Noord;13/07/10;STREPE
FT273;Fietstrommel;NOLENSSTR;47;51,93062973;4,463829994;Noord;13/07/10;BEHEER-STZ
FT274;Fietstrommel;DOEZASTR;17;51,92858124;4,463399887;Noord;13/07/10;STREPE
FT275;Fietstrommel;STATENSNGL;48;51,92908859;4,462580204;Noord;13/07/10;BEHEER-STZ
FT276;Fietstrommel;STATENSNGL;48;51,92908859;4,462590218;Noord;13/07/10;STREPE
FT277;Fietstrommel;STATENSNGL;29;51,9301796;4,465720177;Noord;13/07/10;BEHEER-STZ
FT278;Fietstrommel;STATIONSSNGL;107;51,92631149;4,463459969;Noord;13/07/10;STREPE
FT279;Fietstrommel;STATIONSSNGL;97;51,92601013;4,463779926;Noord;13/07/10;BEHEER-STZ
FT28;Fietstrommel;OCHTERVELTSTR;48;51,91323853;4,465300083;Centrum;07/06/09;Conversie
FT280;Fietstrommel;KL COOLSTR;11;51,92692947;4,467030048;Noord;07/06/09;Conversie
FT281;Fietstrommel;SCHIEKD;764;51,92826843;4,474070072;Noord;13/07/10;BEHEER-STZ
FT282;Fietstrommel;SCHIEKD;42;51,93051147;4,470600128;Noord;13/07/10;STREPE
FT283;Fietstrommel;NOORDSNGL;160;51,93159103;4,475359917;Noord;13/07/10;BEHEER-STZ
FT284;Fietstrommel;BERGWG;270;51,93347168;4,473219872;Noord;07/06/09;Conversie
FT285;Fietstrommel;BERGWG;265;51,93434143;4,474520206;Noord;13/07/10;BEHEER-STZ
FT286;Fietstrommel;BESEMERSTR;12;51,93320084;4,459400177;Noord;13/07/10;STREPE
FT287;Fietstrommel;G SCHOLTENSTR;80;51,93418121;4,477670193;Noord;07/06/09;Conversie
FT288;Fietstrommel;WILLEBRORDUSSTR;168;51,93360138;4,471610069;Noord;07/06/09;Conversie
FT289;Fietstrommel;BERGSNGL;133;51,93320084;4,471389771;Noord;07/06/09;Conversie
FT29;Fietstrommel;ROCHUSSENSTR;101;51,91278839;4,466810226;Centrum;06/07/10;STREPE
FT290;Fietstrommel;DE S LOHMANLN;90;51,93611145;4,467450142;Noord;13/07/10;STREPE
FT291;Fietstrommel;BERGSNGL;96;51,93725967;4,469799995;Noord;07/06/09;Conversie
FT292;Fietstrommel;GORDELWG;133;51,93804169;4,465079784;Noord;13/07/10;STREPE
FT293;Fietstrommel;GORDELWG;133;51,93804169;4,465089798;Noord;07/06/09;Conversie
FT294;Fietstrommel;GORDELWG;133;51,93804169;4,465099812;Noord;13/07/10;STREPE
FT295;Fietstrommel;GORDELWG;123;51,93875885;4,467020035;Noord;13/07/10;BEHEER-STZ
FT296;Fietstrommel;GORDELWG;123;51,93875885;4,467030048;Noord;13/07/10;STREPE
FT297;Fietstrommel;GORDELWG;123;51,93875885;4,467040062;Noord;07/06/09;Conversie
FT298;Fietstrommel;BERKELSELN; 89/91;51,9375;4,470610142;Noord;07/06/09;Conversie
FT299;Fietstrommel;RODENRYSELN;37;51,93746948;4,470749855;Noord;13/07/10;BEHEER-STZ
FT3;Fietstrommel;ESSENBURGSNGL;15A;51,92287827;4,460649967;Delfshaven;06/07/10;STREPE
FT30;Fietstrommel;ROCHUSSENSTR;107;51,91254044;4,466030121;Centrum;07/06/09;Conversie
FT300;Fietstrommel;BERKELSELN;44;51,93777084;4,471789837;Noord;13/07/10;STREPE
FT301;Fietstrommel;GORDELWG;104;51,93938065;4,471210003;Noord;13/07/10;BEHEER-STZ
FT302;Fietstrommel;GORDELWG;104;51,93938065;4,471220016;Noord;07/06/09;Conversie
FT303;Fietstrommel;GORDELWG;104;51,93938065;4,47123003;Noord;07/06/09;Conversie
FT304;Fietstrommel;DELFGAAUWSTR;29;51,93896103;4,472740173;Noord;13/07/10;STREPE
FT305;Fietstrommel;RODENRYSELN;2;51,93511963;4,472799778;Noord;13/07/10;BEHEER-STZ
FT306;Fietstrommel;VRYENBANSESTR;17/29;51,93632126;4,473320007;Noord;13/07/10;STREPE
FT307;Fietstrommel;VRYENBANSESTR;17/29;51,93632126;4,473320007;Noord;07/06/09;Conversie
FT308;Fietstrommel;BERGSELN;126;51,93883896;4,474949837;Noord;13/07/10;STREPE
FT309;Fietstrommel;NOBELSTR;113;51,93193054;4,459310055;Noord;07/06/09;Conversie
FT31;Fietstrommel;BREITNERSTR;89 c;51,91418839;4,467030048;Centrum;07/06/09;Conversie
FT310;Fietstrommel;LISSTR;2;51,93886185;4,475699902;Noord;13/07/10;STREPE
FT311;Fietstrommel;ST AGATHASTR;9;51,93909836;4,476880074;Noord;13/07/10;BEHEER-STZ
FT312;Fietstrommel;WILLEBRORDUSPLN;23;51,93722916;4,477200031;Noord;13/07/10;STREPE
FT313;Fietstrommel;SOETENDAALSEWG;91;51,93928909;4,480669975;Noord;13/07/10;BEHEER-STZ
FT314;Fietstrommel;SOETENDAALSEWG;91;51,93928909;4,480669975;Noord;18/03/11;OOMEBE
FT315;Fietstrommel;BLOKLANDSTR;63;51,93611908;4,483530045;Noord;07/06/09;Conversie
FT316;Fietstrommel;BLOKLANDSTR;67;51,93616104;4,4833498;Noord;13/07/10;STREPE
FT317;Fietstrommel;J CATSSTR;45;51,93360138;4,482110023;Noord;07/06/09;Conversie
FT318;Fietstrommel;SCHEPENSTR;76;51,92871857;4,465030193;Noord;07/06/09;Conversie
FT319;Fietstrommel;SCHEPENSTR;76;51,92871857;4,465030193;Noord;07/06/09;Conversie
FT32;Fietstrommel;KR ELLEBOOG;35;51,91587067;4,476480007;Centrum;06/07/10;STREPE
FT320;Fietstrommel;OOSTZEEDK;163A;51,92232132;4,503509998;Kralingen/Crooswijk;13/07/10;STREPE
FT321;Fietstrommel;OOSTZEEDK;25;51,91873932;4,515729904;Kralingen/Crooswijk;13/07/10;BEHEER-STZ
FT322;Fietstrommel;OOSTMAASLN;127;51,91820145;4,511610031;Kralingen/Crooswijk;13/07/10;STREPE
FT323;Fietstrommel;OOSTMAASLN;127;51,91820145;4,511610031;Kralingen/Crooswijk;13/07/10;BEHEER-STZ
FT324;Fietstrommel;OOSTMAASSTR;5;51,92441177;4,509709835;Kralingen/Crooswijk;15/09/10;STREPE
FT325;Fietstrommel;VOORSCHOTERLN;45;51,92467117;4,513169765;Kralingen/Crooswijk;13/07/10;BEHEER-STZ
FT326;Fietstrommel;PLANTAGEWG;5;51,92922974;4,505129814;Kralingen/Crooswijk;13/07/10;STREPE
FT327;Fietstrommel;PLANTAGEWG;16;51,92850876;4,504670143;Kralingen/Crooswijk;13/07/10;BEHEER-STZ
FT328;Fietstrommel;PLANTAGEWG;17;51,9283905;4,504590034;Kralingen/Crooswijk;07/06/09;Conversie
FT329;Fietstrommel;PLANTAGEWG;27;51,92798996;4,504340172;Kralingen/Crooswijk;13/07/10;BEHEER-STZ
FT33;Fietstrommel;2E JERICHOSTR;4;51,93066025;4,507609844;Kralingen/Crooswijk;07/06/09;Conversie
FT330;Fietstrommel;PLANTAGEWG;35;51,92750931;4,504030228;Kralingen/Crooswijk;13/07/10;STREPE
FT331;Fietstrommel;RAMLEHWG;38;51,9302597;4,503719807;Kralingen/Crooswijk;07/06/09;Conversie
FT332;Fietstrommel;RAMLEHWG;30;51,93058014;4,503930092;Kralingen/Crooswijk;13/07/10;STREPE
FT333;Fietstrommel;2E WANDELO DWSTR;7;51,93767166;4,495120049;Kralingen/Crooswijk;13/07/10;BEHEER-STZ
FT334;Fietstrommel;KRALINGSE PLASLN;92;51,93181992;4,50838995;Kralingen/Crooswijk;13/07/10;STREPE
FT335;Fietstrommel;ROCHUSSENSTR;41;51,91508102;4,469979763;Centrum;13/07/10;BEHEER-STZ
FT336;Fietstrommel;DIERGAARDESNGL;19;51,92198944;4,466139793;Centrum;07/06/09;Conversie
FT337;Fietstrommel;BOOMPJES;55/56;51,91625977;4,489779949;Centrum;13/07/10;BEHEER-STZ
FT338;Fietstrommel;PARKSTR;10;51,90689087;4,475949764;Centrum;13/07/10;STREPE
FT339;Fietstrommel;ZALMHAVEN;19;51,91138077;4,4801898;Centrum;07/06/09;Conversie
FT34;Fietstrommel;BERGWG;285;51,93408966;4,47412014;Noord;07/06/09;Conversie
FT340;Fietstrommel;ZALMHAVEN;19;51,91138077;4,4801898;Centrum;07/06/09;Conversie
FT341;Fietstrommel;WESTERSTR;24;51,90943146;4,481709957;Centrum;07/06/09;Conversie
FT342;Fietstrommel;OOSTMAASSTR;5;51,92441177;4,509709835;Centrum;13/07/10;STREPE
FT343;Fietstrommel;KLEIWG;265;51,92670822;4,46585989;Hillegersberg;13/07/10;BEHEER-STZ
FT344;Fietstrommel;MAASSTR;4;51,90906906;4,480239868;Centrum;13/07/10;STREPE
FT345;Fietstrommel;MAASSTR;18;51,90856934;4,481369972;Centrum;13/07/10;BEHEER-STZ
FT346;Fietstrommel;HARINGVLIET;63;51,92065811;4,495600224;Centrum;13/07/10;STREPE
FT347;Fietstrommel;OPPERT;;51,92065811;4,495600224;Centrum;13/07/10;BEHEER-STZ
FT348;Fietstrommel;OPPERT;;51,92065811;4,495600224;Centrum;13/07/10;STREPE
FT349;Fietstrommel;MYNSHERENPLN;to 14;51,89542007;4,493289948;Charlois;18/01/12;OOMEBE
FT35;Fietstrommel;VD MEYDESTR;29;51,93069839;4,457320213;Noord;07/06/09;Conversie
FT350;Fietstrommel;MYNSHERENPLN;14;51,89542007;4,493289948;Charlois;18/01/12;OOMEBE
FT351;Fietstrommel;BOOMGAARDHOF;33;51,91735077;4,475810051;Centrum;13/07/10;BEHEER-STZ
FT352;Fietstrommel;SCHIEDAMSESNGL;193;51,91344833;4,479279995;Centrum;13/07/10;STREPE
FT353;Fietstrommel;KIPSTR;29;51,92309952;4,491670132;Centrum;13/07/10;BEHEER-STZ
FT354;Fietstrommel;SCHIEDAMSESNGL;191;51,9134903;4,479189873;Centrum;13/07/10;STREPE
FT355;Fietstrommel;BREITNERSTR;98;51,9131813;4,467160225;Centrum;07/06/09;Conversie
FT356;Fietstrommel;S GRAVENDYKWAL;26;51,91854095;4,463240147;Centrum;07/06/09;Conversie
FT357;Fietstrommel;PRINSENHOF;25;51,92325974;4,486869812;Centrum;13/07/10;BEHEER-STZ
FT358;Fietstrommel;ROCHUSSENSTR;78;51,91334152;4,467999935;Centrum;07/06/09;Conversie
